"Code","Name","Category","Unit","Current Stock","Minimum Stock","Cost","Price","Current Stock Value","Current Stock Cost","Amount Sold","Quantity Sold","Profit","Image_Path"
"","Viro Grip xarope 120ml","Farmácia ","unit","0",0,"7.6","10.65","0","0",0,0,0,"C:\\Users\\abner\\OneDrive\\Documents\\Discover Supply\\kyte_images_optimized\\viro_grip_xarope_120ml.webp"
"","Capilo Oleo Vitamia E 2oz c/12","Capilo","unit","4",0,"37.8","56.7","226.8","151.2","226.8","4","75.6","C:\\Users\\abner\\OneDrive\\Documents\\Discover Supply\\kyte_images_optimized\\capilo_oleo_vitamia_e_2oz_c_12.webp"
"7896094922129","Nenêdent Gel 10g","","unit","0",0,"8.39","11.95","0","0",0,0,0,"C:\\Users\\abner\\OneDrive\\Documents\\Discover Supply\\kyte_images_optimized\\nen_dent_gel_10g.webp"
"7898602962405","Vita Seiva Serum óleo Rosa Mosqueta 60ml","Vita Seiva","unit","0",0,"11.34","12.95","0","0",0,0,0,"C:\\Users\\abner\\OneDrive\\Documents\\Discover Supply\\kyte_images_optimized\\vita_seiva_serum__leo_rosa_mosqueta_60ml.webp"
"7898632470352","Creme Parafina Raio de Sol Bronzeador 80g c/6","Higiene Pessoal","unit","16",0,"21","26","416","336",0,0,0,"C:\\Users\\abner\\OneDrive\\Documents\\Discover Supply\\kyte_images_optimized\\creme_parafina_raio_de_sol_bronzeador_80g_c_6.webp"
"","Óleo de Eucalipto Germa","Germa","unit","0",0,"3.2","4.6","0","0",0,0,0,"C:\\Users\\abner\\OneDrive\\Documents\\Discover Supply\\kyte_images_optimized\\_leo_de_eucalipto_germa.webp"
"","Nutriminas chá Samambaia ","Chás ","unit","0",0,"16.09","23.49","0","0",0,0,0,""
"","Nutriminas chá Cipó Cravo","Chás ","unit","0",0,"16.09","23.49","0","0",0,0,0,""
"","Nutriminas chá Cana de Macaco","Chás ","unit","0",0,"16.09","23.49","0","0",0,0,0,""
"","Lixa preta para unhas  144 unidades","Produtos de Unha ","unit","12",0,"10.49","15.75","189","125.88","31.5","2","10.52","C:\\Users\\abner\\OneDrive\\Documents\\Discover Supply\\kyte_images_optimized\\lixa_preta_para_unhas__144_unidades.webp"
"","Lola Morte Súbita Máscara 450g","Lola ","unit","0",0,"6.8","9.55","0","0",0,0,0,"C:\\Users\\abner\\OneDrive\\Documents\\Discover Supply\\kyte_images_optimized\\lola_morte_s_bita_m_scara_450g.webp"
"","Lola Morte Súbita Condicionador 250ml","Lola ","unit","0",0,"4.8","6.75","0","0",0,0,0,"C:\\Users\\abner\\OneDrive\\Documents\\Discover Supply\\kyte_images_optimized\\lola_morte_s_bita_condicionador_250ml.webp"
"","Abridor de Latas c/ 12 Unidades","Diversos","unit","0",0,"9.79","14.68","0","0","58.72","4","19.56","C:\\Users\\abner\\OneDrive\\Documents\\Discover Supply\\kyte_images_optimized\\abridor_de_latas_c__12_unidades.webp"
"4958964123876","Canela de Velho cápsula ","Suplementos ","unit","6",0,"5.49","8.9","53.400","32.94",0,0,0,""
"","Cuscuzeira Fome Zero - unidade ","Alumínio ","unit","2",0,"11.04","16.95","33.9","22.08","632.95","41","219.06",""
